STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
723060,13722, 19860101,   43.1,24,   30.8,24, 1017.3,24, 1001.1,24,   5.3,24,   7.0,24,  12.0, 999.9,   57.0 ,  28.0 , 0.08G,999.9, 110000,
723060,13722, 19860102,   37.2,24,   20.0,24, 1025.0,24, 1008.6,24,  10.3,24,   3.1,24,   8.0, 999.9,   57.0*,  23.0 , 0.00D,999.9, 000000,
723060,13722, 19860103,   50.2,24,   39.5,24, 1015.8,24,  999.7,24,   7.7,24,   6.8,24,  15.9,  20.0,   63.0*,  44.1*, 0.16G,999.9, 110000,
723060,13722, 19860104,   45.0,24,   30.2,24, 1019.5,24, 1003.4,24,  13.1,24,   6.4,24,  10.1, 999.9,   64.9 ,  37.9 , 0.00D,999.9, 000000,
723060,13722, 19860105,   42.1,24,   29.8,24, 1012.6,24,  996.6,24,  10.4,24,   8.6,24,  21.0,  27.0,   46.9 ,  37.9 , 0.00D,999.9, 100000,
723060,13722, 19860106,   37.2,24,   15.4,24, 1019.0,24, 1002.7,24,  14.9,24,   7.6,24,  13.0, 999.9,   55.0*,  26.1 , 0.00D,999.9, 000000,
723060,13722, 19860107,   38.2,24,   19.2,24, 1022.2,24, 1005.9,24,  11.2,24,   5.6,24,  12.0, 999.9,   55.0 ,  26.1 , 0.00D,999.9, 000000,
723060,13722, 19860108,   25.4,24,    7.6,24, 1036.7,24, 1019.9,24,  11.4,24,   9.1,24,  17.1, 999.9,   44.1 ,  15.1 , 0.00D,999.9, 000000,
723060,13722, 19860109,   26.0,24,    6.1,24, 1035.5,24, 1018.6,24,  12.0,24,   3.5,24,  10.1, 999.9,   46.9*,  10.9 , 0.00D,999.9, 000000,
723060,13722, 19860110,   38.8,24,   10.1,24, 1022.2,24, 1005.8,24,   6.8,24,   6.6,24,   8.9, 999.9,   50.0*,  32.0*, 0.00D,999.9, 000000,
723060,13722, 19860111,   40.0,24,   18.7,24, 1019.8,24, 1003.5,24,   8.0,24,   6.9,24,  12.0, 999.9,   51.1 ,  30.0 , 0.00D,999.9, 000000,
723060,13722, 19860112,   40.7,24,   18.1,24, 1018.8,24, 1002.5,24,  12.4,24,   7.9,24,  14.0,  20.0,   60.1*,  28.0 , 0.00D,999.9, 000000,
723060,13722, 19860113,   41.8,24,   17.4,24, 1009.7,24,  993.7,24,  13.2,24,  10.2,24,  19.0,  25.1,   61.0 ,  28.9 , 0.00D,999.9, 000000,
723060,13722, 19860114,   29.8,24,    9.9,24, 1016.2,24,  999.9,24,  14.5,24,   7.3,24,  15.0, 999.9,   46.0 ,  21.9 , 0.00D,999.9, 000000,
723060,13722, 19860115,   29.2,24,   13.1,24, 1025.5,24, 1009.0,24,  11.1,24,   5.9,24,  11.1, 999.9,   41.0 ,  21.9 , 0.00D,999.9, 000000,
723060,13722, 19860116,   36.1,24,   20.2,24, 1032.5,24, 1015.9,24,  10.1,24,   6.8,24,  12.0, 999.9,   55.9*,  21.9 , 0.00D,999.9, 000000,
723060,13722, 19860117,   50.4,24,   43.2,24, 1030.4,24, 1014.1,24,   6.6,24,   6.4,24,  13.0,  18.1,   64.0*,  41.0*, 0.00D,999.9, 100000,
723060,13722, 19860118,   56.0,24,   51.6,24, 1024.4,24, 1008.4,24,   6.5,24,   4.2,24,   8.0, 999.9,   64.0 ,  42.1 , 0.00G,999.9, 110000,
723060,13722, 19860119,   56.7,24,   55.3,24, 1007.9,24,  992.1,24,   5.3,24,   7.0,24,  11.1, 999.9,   64.0 ,  48.9 , 0.26G,999.9, 110000,
723060,13722, 19860120,   43.8,24,   31.3,24, 1003.8,24,  987.9,24,  11.9,24,  13.1,24,  20.0,  26.0,   62.1 ,  35.1 , 0.04G,999.9, 011000,
723060,13722, 19860121,   41.0,24,   23.0,24, 1017.5,24, 1001.3,24,  12.4,24,   6.2,24,  15.9, 999.9,   59.0*,  28.0 , 0.01G,999.9, 000000,
723060,13722, 19860122,   50.7,24,   33.5,24, 1019.7,24, 1003.6,24,   7.8,24,   7.0,24,  12.0, 999.9,   70.0*,  28.0 , 0.00G,999.9, 000000,
723060,13722, 19860123,   46.7,24,   29.1,24, 1024.0,24, 1007.8,24,  10.3,24,  11.2,24,  15.0,  19.0,   70.0 ,  39.0 , 0.00D,999.9, 000000,
723060,13722, 19860124,   34.6,24,   17.0,24, 1029.7,24, 1013.2,24,  14.9,24,   8.1,24,  13.0,  18.1,   48.0 ,  26.1 , 0.00D,999.9, 000000,
723060,13722, 19860125,   34.6,24,   30.2,24, 1026.9,24, 1010.4,24,   6.6,24,   7.1,24,  10.1, 999.9,   45.0 ,  26.1 , 0.00D,999.9, 110000,
723060,13722, 19860126,   37.1,24,   36.5,24, 1009.9,24,  993.8,24,   1.7,24,   5.4,24,   8.9, 999.9,   39.0*,  33.1 , 1.17G,999.9, 110000,
723060,13722, 19860127,   30.7,24,   20.7,24, 1000.1,24,  984.0,24,   6.8,24,  10.7,24,  18.1,  24.1,   39.0 ,  21.0*, 0.11G,999.9, 111000,
723060,13722, 19860128,   15.5,24,   -4.8,24, 1013.8,24,  997.2,24,  14.6,24,  13.5,24,  21.0,  28.0,   36.0 ,   8.1 , 0.04G,999.9, 000000,
723060,13722, 19860129,   28.0,24,    9.1,24, 1016.6,24, 1000.1,24,  14.5,24,   6.6,24,  10.1, 999.9,   39.9*,   8.1 , 0.00G,999.9, 011000,
723060,13722, 19860130,   34.8,24,   20.4,24, 1020.5,24, 1004.1,24,   8.3,24,   9.3,24,  15.9,  24.1,   41.0*,  18.0 , 0.00D,999.9, 010000,
723060,13722, 19860131,   35.2,24,   21.2,24, 1029.0,24, 1012.5,24,   8.5,24,   4.7,24,   8.9, 999.9,   52.0*,  23.0 , 0.00D,999.9, 100000,
723060,13722, 19860201,   41.2,24,   28.9,24, 1031.1,24, 1014.6,24,   7.5,24,   5.3,24,  13.0, 999.9,   60.1*,  25.0 , 0.00D,999.9, 000000,
723060,13722, 19860202,   55.4,24,   44.9,24, 1025.3,24, 1009.2,24,   7.5,24,   8.3,24,  14.0, 999.9,   71.1*,  48.0*, 0.00D,999.9, 100000,
723060,13722, 19860203,   57.5,24,   48.5,24, 1020.4,24, 1004.4,24,   6.8,24,   3.2,24,   8.0, 999.9,   73.0 ,  46.9 , 0.00D,999.9, 010000,
723060,13722, 19860204,   50.6,24,   44.0,24, 1018.2,24, 1002.2,24,   3.6,24,   5.6,24,  10.1, 999.9,   68.0*,  43.0 , 0.00D,999.9, 100000,
723060,13722, 19860205,   57.8,24,   51.0,24, 1011.6,24,  995.8,24,   6.5,24,   8.7,24,  20.0,  26.0,   70.0 ,  43.0 , 0.00D,999.9, 110000,
723060,13722, 19860206,   54.1,24,   52.2,24, 1012.6,24,  996.8,24,   5.4,24,   6.1,24,  15.9,  24.1,   70.0 ,  43.0 , 0.00D,999.9, 110000,
723060,13722, 19860207,   42.8,24,   41.5,24, 1011.1,24,  995.1,24,   2.5,24,   9.1,24,  15.9,  27.0,   57.9 ,  35.1 , 0.44G,999.9, 110000,
723060,13722, 19860208,   40.5,24,   39.2,24, 1017.6,24, 1001.4,24,   1.9,24,   4.4,24,   8.0, 999.9,   51.1 ,  35.1 , 0.21G,999.9, 110000,
723060,13722, 19860209,   40.8,24,   37.9,24, 1019.4,24, 1003.1,24,   2.5,24,   4.4,24,   7.0, 999.9,   50.0*,  34.0 , 0.00G,999.9, 100000,
723060,13722, 19860210,   42.4,24,   39.5,24, 1017.3,24, 1001.2,24,   3.6,24,   4.9,24,   8.9, 999.9,   50.0 ,  34.0 , 0.00H,999.9, 110000,
723060,13722, 19860211,   39.0,24,   37.7,24, 1009.2,24,  993.2,24,   3.1,24,   8.6,24,  17.1, 999.9,   46.9 ,  34.0 , 0.17G,999.9, 110000,
723060,13722, 19860212,   32.6,24,   17.5,24, 1019.4,24, 1003.1,24,  10.3,24,  10.1,24,  15.0, 999.9,   43.0 ,  25.0 , 0.01G,999.9, 100000,
723060,13722, 19860213,   27.3,24,    7.0,24, 1024.8,24, 1008.2,24,  13.6,24,   9.9,24,  15.9,  22.9,   39.0 ,  21.9*, 0.00G,999.9, 001000,
723060,13722, 19860214,   25.8,24,    7.9,24, 1024.6,24, 1007.9,24,  13.6,24,   5.5,24,  11.1, 999.9,   37.9*,  14.0 , 0.00D,999.9, 001000,
723060,13722, 19860215,   35.2,24,   26.0,24, 1014.7,24,  998.4,24,   5.7,24,   7.9,24,  15.9, 999.9,   44.1*,  30.9*, 0.10G,  0.4, 111000,
723060,13722, 19860216,   37.5,24,   21.2,24, 1022.1,24, 1005.8,24,   9.0,24,   5.6,24,  14.0,  15.9,   57.0*,  23.0 , 0.00D,999.9, 000000,
723060,13722, 19860217,   57.3,24,   43.8,24, 1017.6,24, 1001.5,24,   9.2,24,   9.5,24,  15.0,  21.0,   72.0*,  48.9*, 0.00D,999.9, 000000,
723060,13722, 19860218,   56.9,24,   51.8,24, 1010.3,24,  994.5,24,   7.0,24,   6.8,24,  10.1, 999.9,   73.0 ,  48.9 , 0.00D,999.9, 110000,
723060,13722, 19860219,   55.0,24,   51.2,24, 1007.7,24,  991.9,24,   3.4,24,   6.1,24,  24.1,  32.1,   71.1*,  46.0 , 0.13G,999.9, 110010,
