STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT
723060,13722,20080101,46.5,24,29.8,24,1016.2,24,1000.3,24,10,24,7.1,24,12,21,57,36, 0.00G,999.9,0
723060,13722,20080102,32.5,24,9.7,24,1020.5,24,1004.5,24,9.9,24,9.3,24,14,22.9,55,26.1, 0.00G,999.9,0
723060,13722,20080103,27,24,5.8,24,1036.9,24,1020.3,24,10,24,6.3,24,13,22,35.1,21, 0.00G,999.9,0
723060,13722,20080104,28,24,11.3,24,1039.9,24,1023.2,24,10,24,3.9,24,13,18.1,45,17.1, 0.00G,999.9,0
723060,13722,20080105,36.3,24,15.3,24,1032.2,24,1015.8,24,10,24,7,24,13,999.9,55,17.1, 0.00G,999.9,0
723060,13722,20080106,51,24,35.4,24,1027.1,24,1011.1,24,10,24,7.9,24,17.1,999.9,69.1,25.2, 0.00G,999.9,0
723060,13722,20080107,56.7,24,46.7,24,1026.9,24,1010.9,21,9.3,24,4.7,24,12,999.9,72,39.9, 0.00G,999.9,0
723060,13722,20080108,58.8,24,52.1,24,1025.2,23,1009.1,18,7.6,24,6.3,24,9.9,999.9,73,44.1, 0.00G,999.9,100000
723060,13722,20080109,64,24,55,24,1018,23,1002.2,24,10,24,9.9,24,14,19,73,50, 0.00G,999.9,0
723060,13722,20080110,52.9,24,38.3,24,1019.9,19,1003.6,23,9.9,24,5,24,11.1,999.9,73,46.9, 0.00G,999.9,0
723060,13722,20080111,59.5,24,53.4,24,1009.8,20,994.3,24,9.9,24,10.4,24,22,27,   68.0*,  46.4*, 0.15G,999.9,0
723060,13722,20080112,51.5,24,38.5,24,1014.5,23,998.4,24,10,24,5.6,24,9.9,999.9,68,41, 0.00G,999.9,0
723060,13722,20080113,44.6,24,34.3,24,1016.9,24,1001.1,24,9.5,24,6.2,24,8.9,999.9,57.9,39, 0.00G,999.9,0
723060,13722,20080114,41.7,24,30.1,24,1014.9,24,999.1,16,8,24,2.8,24,8.9,999.9,52,30.9, 0.00G,999.9,0
723060,13722,20080115,35.3,24,16,24,1017.3,24,1001.3,24,10,24,4.3,24,12,22,52,24.1, 0.00G,999.9,0
723060,13722,20080116,33.3,24,13.9,24,1025.6,24,1009.3,24,10,24,2.1,24,7,999.9,46,21, 0.00G,999.9,0
723060,13722,20080117,36.4,24,26.2,24,1022.4,23,1008.9,12,6.5,24,6.4,24,12,18.1,46,21.2, 0.03G,999.9,10000
723060,13722,20080118,37.8,24,34.2,24,1017.5,17,1000.9,12,5.2,24,5.7,24,9.9,999.9,   51.1*,  33.8*, 0.52G,999.9,0
723060,13722,20080119,39,24,35.3,24,1018.8,21,9999.9,0,4.4,24,3.5,24,8,999.9,51.1,33.1, 0.00G,999.9,10000
723060,13722,20080120,30.6,24,18,24,1024.2,21,1010,17,7.6,24,6.2,24,14,18.1,42.1,25, 0.28G,1.2,1000
723060,13722,20080121,24.7,24,0.8,24,1039.9,24,1023.2,24,10,24,4.2,24,8.9,999.9,37,15.1, 0.00G,1.2,0
723060,13722,20080122,31,24,17.3,24,1031.9,21,1016.2,21,9.9,24,2.2,24,7,999.9,   41.0*,  24.1*, 0.00G,999.9,0
723060,13722,20080123,42.3,24,36.3,24,1018.3,20,1002.2,10,5.1,24,4.6,24,8,999.9,54,24.3, 0.15G,999.9,110000
723060,13722,20080124,39.2,24,29.7,24,1015.9,22,1000.3,18,7.9,24,2.9,24,12,21,54,30.9, 0.00G,999.9,0
723060,13722,20080125,30,24,7.8,24,1029.5,24,1013.1,24,10,24,5.1,24,9.9,15.9,46.9,21, 0.00G,999.9,0
723060,13722,20080126,35.1,24,14.5,24,1025.8,24,1009.5,24,10,24,3.7,24,8,999.9,48,21, 0.00G,999.9,0
723060,13722,20080127,39.7,24,23.5,24,1018.2,24,1002.1,24,10,24,3,24,8.9,999.9,52,26.1, 0.00G,999.9,0
723060,13722,20080128,37.4,24,23.8,24,1021.2,24,1005.1,24,9.9,24,1.5,24,7,999.9,55,24.1, 0.00G,999.9,0
723060,13722,20080129,48.9,24,27.5,24,1015.1,24,999.2,24,10,24,8.8,24,20,22.9,64,24.3, 0.00G,999.9,0
723060,13722,20080130,53.3,24,29,24,1011.2,22,995.3,23,9.6,24,11.6,24,18.1,24.1,64,37, 0.13G,999.9,0
723060,13722,20080131,38,24,11.9,24,1027.6,24,1011.3,24,10,24,6.1,24,13,19,57,27, 0.00I,999.9,0
723060,13722,20080201,44.4,24,33.4,24,1019.6,24,1005.4,11,6.1,24,8.8,24,21,27,60.1,28.2, 0.47G,999.9,10000
723060,13722,20080202,43.7,24,33.4,24,1022.5,24,1006.3,23,10,24,3.3,24,7,999.9,61,28.9, 0.36G,999.9,0
723060,13722,20080203,49.3,24,33.9,24,1023.1,24,1007.2,24,10,24,4,24,7,999.9,66,29.1, 0.00G,999.9,0
723060,13722,20080204,53.6,24,39,24,1022.8,24,1006.9,24,10,24,3,24,9.9,999.9,71.1,37.9, 0.00G,999.9,0
723060,13722,20080205,58.4,24,50.2,24,1019.9,23,1003.9,16,6.9,24,7.5,24,17.1,28.9,75.9,41, 0.00G,999.9,0
723060,13722,20080206,67.5,24,56.3,24,1011.5,24,996,24,10,24,13.6,24,22,29.9,75.9,48, 0.00G,999.9,0
723060,13722,20080207,60.4,24,37,24,1008.1,24,992.6,24,10,24,11.4,24,22,32.1,77,50, 0.00G,999.9,10000
723060,13722,20080208,45,24,29.9,24,1013.1,23,997.3,24,10,24,3.8,24,8,999.9,66,35.1, 0.00G,999.9,0
